dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
IHDP,"IHDP A, strength=0",ihdp_semisynth,cui_selective_ml,3000,0.0,96,0.0006670987909683153,0.0006713233428591465,0.0006713233428591465,-0.006332723050957778,-0.006332723050957778,nan,nan,0.0,nan,nan,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,1.0049168850403798,1.00462910274322,1.00462910274322,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,ma_dr_bc,3000,0.0,96,0.0074531696000392856,0.00726550847049781,0.007402447016694781,0.02517870109120901,0.006805505049051419,nan,nan,-0.01837319604215759,nan,nan,0.09375,0.11458333333333333,0.14583333333333334,0.03125,0.052083333333333336,11.870791765190864,11.862639208594958,11.791458716052167,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,tmle,3000,0.0,96,0.0014808178740663182,0.0014953879902040973,0.0014805182770506323,-0.009839235731109675,0.00020231861117614436,nan,nan,0.010041554342285819,nan,nan,0.07291666666666667,0.08333333333333333,0.010416666666666666,0.041666666666666664,0.041666666666666664,11.714608455630332,11.65590106427168,11.651713429407208,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,aipw,3000,3.0,96,0.004724292332800328,0.0045138907761346474,0.004493836316312768,0.04453610019110832,0.04878106608423127,nan,nan,0.004244965893122954,nan,nan,0.19791666666666666,0.21875,0.020833333333333332,0.0625,0.07291666666666667,14.57530714333234,14.282550422934518,14.271713609847689,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,ctmle,3000,3.0,96,0.01247112435256111,0.01247112435256111,0.01247112435256111,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8406070566237472,0.8406070566237472,0.8406070566237472,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,cui_selective_ml,3000,3.0,96,0.015786173880885535,0.01570253106588197,0.01568341080077863,0.005298485601051395,0.006509688850655282,nan,nan,0.0012112032496038871,nan,nan,0.052083333333333336,0.0625,0.010416666666666666,0.0,0.0,1.3754918772475067,1.3684737260212996,1.3643978792597224,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,ma_dr_bc,3000,3.0,96,0.02743732489984493,0.026999848437811114,0.026165364028081492,0.015944574175170034,0.04635877864939475,nan,nan,0.030414204474224715,nan,nan,0.10416666666666667,0.21875,0.20833333333333334,0.03125,0.0625,14.57530714333234,14.502599340467079,14.271713609847689,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,tmle,3000,3.0,96,0.006192664520364626,0.005954385819970953,0.005932622263786069,0.03847757287837761,0.04199198192044895,nan,nan,0.0035144090420713425,nan,nan,0.1875,0.21875,0.03125,0.041666666666666664,0.041666666666666664,13.517002943158417,13.288006939897992,13.272654781451457,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,aipw,3000,0.0,96,0.0037835277655176584,0.003640353247268069,0.00363212990097371,0.03784154025627995,0.04001500026609006,nan,nan,0.002173460009810113,nan,nan,0.11458333333333333,0.13541666666666666,0.020833333333333332,0.010416666666666666,0.020833333333333332,11.43531060661539,11.31923643953941,11.310941985567064,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,ctmle,3000,0.0,96,0.0011000483345700858,0.0011000483345700858,0.0011000483345700858,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8116115523813855,0.8116115523813855,0.8116115523813855,crosses_zero
