group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
kang_schafer,kang_schafer_ic,aipw,200,0,96,95.8277920761,71.6584574679,84.1380036264,0.25221633604,0.12198745475,0.0525760573463,0.188719466454,0.395833333333,0.15625,0.297352706545,0.0666666666667,0.0104166666667,0.0601433371811
kang_schafer,kang_schafer_ic,aipw,1000,0,96,8.08847396784,6.99877837863,7.89898254189,0.134722024642,0.0234273395333,0.00576427931037,0.0473673210718,0.614583333333,0.135416666667,0.117685113796,0.153846153846,0.0208333333333,0.0454288922029
kang_schafer,kang_schafer_ic,ctmle,200,0,96,16.769315199,16.4708198325,16.5095049843,0.0178000927841,0.0154931916798,0,0.0447860033951,0.0208333333333,0.0104166666667,0.160397614983,0,0,0.00900155987109
kang_schafer,kang_schafer_ic,ctmle,1000,0,96,2.49065449284,2.49065449284,2.49065449284,0,0,0,0,0,0,,,0,0
kang_schafer,kang_schafer_ic,cui_selective_ml,200,0,96,13.7404345672,11.4061206844,12.3950753313,0.169886466939,0.0979124225874,0.00962043436476,0.193266241874,0.770833333333,0.125,0.412422240577,0.333333333333,0.0416666666667,0.0618640887299
kang_schafer,kang_schafer_ic,cui_selective_ml,1000,0,96,1.96552415732,1.75441121058,1.92399417923,0.107407963397,0.0211292127569,-0.0269040357392,0.0708107658598,1,0.177083333333,0.0855900961125,0.235294117647,0.0416666666667,0.0688013215425
kang_schafer,kang_schafer_ic,ma_dr_bc,200,0,96,55.6291672841,54.527318528,55.1069467651,0.0198070330704,0.00938753075862,-0.0737907602514,0.0651536272347,0.28125,0.145833333333,0.0273465267185,0.428571428571,0.0625,0.0769599335709
kang_schafer,kang_schafer_ic,ma_dr_bc,1000,0,96,6.75425846168,6.27031699142,6.4509306504,0.0716498299554,0.044909121112,0.00758283906472,0.0952493605683,0.427083333333,0.208333333333,0.17816359369,0.25,0.0520833333333,0.117059779884
kang_schafer,kang_schafer_ic,tmle,200,0,96,14.6787933671,15.9553555462,14.8336177432,-0.0869664247719,-0.0105474865877,-0.0525299618746,0.0122650264529,0.3125,0.0520833333333,-0.544648670914,0.4,0.0208333333333,0.0118961068284
kang_schafer,kang_schafer_ic,tmle,1000,0,96,1.8006469489,1.95656975945,1.84069076,-0.0865926608466,-0.0222385688232,-0.123590392634,0.0395885009968,0.520833333333,0.104166666667,-0.382247573507,0.3,0.03125,0.0414310847447
kang_schafer,kang_schafer_ii,aipw,200,0,96,65.9982553093,48.735516469,59.2974203939,0.261563563452,0.101530485677,-0.000617819396003,0.230215611657,0.322916666667,0.0833333333333,0.412558209797,0.25,0.0208333333333,0.0167896696154
kang_schafer,kang_schafer_ii,aipw,1000,0,96,4.91005200035,4.10255024701,4.44166166076,0.164458900493,0.0953941708884,0.0316140566145,0.172686102766,0.666666666667,0.125,0.283606042049,0.0833333333333,0.0104166666667,0.0578140200609
kang_schafer,kang_schafer_ii,ctmle,200,0,96,15.2739951608,15.2739951608,15.2739951608,0,0,0,0,0,0,,,0,0
kang_schafer,kang_schafer_ii,ctmle,1000,0,96,2.79841432317,2.79841432317,2.79841432317,0,0,0,0,0,0,,,0,0
kang_schafer,kang_schafer_ii,cui_selective_ml,200,0,96,16.5581104604,11.5897728121,14.6731036812,0.300054626418,0.113841901448,0.0314695527201,0.202316841711,0.875,0.15625,0.419005558843,0.0666666666667,0.0104166666667,0.0666004281026
