block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,5,10,0.0012856742715529833,0,0.0036397091497307036,0.0020833333333333333,0,0,0.0012856742715529601
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,6,10,0.00094824085121548714,0,0.0027189011443510612,0.0020833333333333333,0,0,0.00094824085121550784
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,8,10,0.00037005247319670253,0,0.0011748927795231169,0.0010416666666666667,0,0,0.00037005247319670811
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,0,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,1,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,2,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,3,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,4,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,5,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,6,3,0,0,0,0,0,0,0
natural,real_breast_ctmle,"breast cancer, wider/partial",ctmle,C-TMLE,8,3,0,0,0,0,0,0,0
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,0,3,0.062623331595957413,0.036152390381359874,0.090983945275098232,0.33333333333333331,0.12152777777777779,0.018841294668271748,0.081464626264229276
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,1,3,0.013181847929998769,0.0041172909519544415,0.024738744247895721,0.038194444444444441,0.0069444444444444441,0.00074623449721693096,0.013928082427215729
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,2,3,0.0026147631858607356,-3.9709971100365671e-05,0.0075571331519366956,0.013888888888888888,0.003472222222222222,4.1431232887125685e-05,0.0026561944187478742
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,3,3,0.0018725914818034835,0,0.0065318285324077437,0.003472222222222222,0,0,0.0018725914818034813
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,4,3,0.0018174136997859043,0,0.0063918087604103316,0.003472222222222222,0,0,0.0018174136997858483
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,5,3,0.0017363701985938507,0,0.0060726951187770736,0.003472222222222222,0,0,0.0017363701985938205
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,6,3,0.0016294609782273595,0,0.0056370514870372141,0.003472222222222222,0,0,0.0016294609782273985
natural,real_breast_cui,"breast cancer, wider/partial",cui_selective_ml,selective ML,8,3,0.0013380453799713237,0,0.0045942737393477855,0.003472222222222222,0,0,0.0013380453799713709
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,0,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,1,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,2,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,3,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,4,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,5,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,6,3,0,0,0,0,0,0,0
natural,real_digits_ctmle,"digits, wider/partial",ctmle,C-TMLE,8,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,0,3,0.0073364799036123403,-0.0094280992831136893,0.025869660042840442,0.22222222222222221,0.1076388888888889,0.018501055814354881,0.025837535717967246
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,1,3,0.00043206294362603998,0,0.0014564211654706763,0.003472222222222222,0,0,0.00043206294362603694
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,2,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,3,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,4,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,5,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,6,3,0,0,0,0,0,0,0
natural,real_digits_cui,"digits, wider/partial",cui_selective_ml,selective ML,8,3,0,0,0,0,0,0,0
